發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
101,3,5,14,48,2,01大同區,大同區民族西路與環河北路口環河北路 民族西路,0,2,3,H02,2,34,2,8,50,4,2
101,3,6,7,45,2,01大同區,大同區民生西路與迪化街口民生西路迪化街,0,2,1,C04,2,55,2,8,50,4,2
101,3,6,7,45,2,01大同區,大同區民生西路與迪化街口民生西路迪化街,0,2,2,C04,1,58,2,8,50,4,2
101,3,6,9,48,2,01大同區,大同區南京西路424號,0,2,1,B03,1,48,3,8,50,14,9
101,3,6,9,48,2,01大同區,大同區南京西路424號,0,2,2,C03,1,32,2,8,50,14,9
101,3,6,9,48,2,01大同區,大同區南京西路424號,0,2,3,H02,2,20,2,8,50,14,9
101,3,14,9,30,2,01大同區,大同區民生西路294號,0,1,1,B03,2,43,3,6,50,14,9
101,3,14,9,30,2,01大同區,大同區民生西路294號,0,1,2,C03,2,23,2,6,50,14,9
101,3,14,17,20,2,01大同區,大同區民權西路與台北橋口民權西路台北橋往三重機慢車專用道,0,2,1,C03,2,30,2,6,50,14,11
101,3,14,17,20,2,01大同區,大同區民權西路與台北橋口民權西路台北橋往三重機慢車專用道,0,2,2,C03,1,42,2,6,50,14,11
101,3,15,8,24,2,01大同區,大同區民權西路與台北橋口民權西路台北橋往三重機慢車專用道,0,1,1,C03,1,,4,7,50,14,11
101,3,15,8,24,2,01大同區,大同區民權西路與台北橋口民權西路台北橋往三重機慢車專用道,0,1,2,C03,2,38,2,7,50,14,11
101,3,15,17,25,2,01大同區,大同區民權西路89號,0,1,1,B03,1,51,3,8,50,14,9
101,3,15,17,25,2,01大同區,大同區民權西路89號,0,1,2,C03,2,64,2,8,50,14,9
101,3,12,20,45,2,01大同區,大同區承德路與華陰街口承德路 華陰街,0,1,1,B03,1,42,3,6,50,5,1
101,3,12,20,45,2,01大同區,大同區承德路與華陰街口承德路 華陰街,0,1,2,C03,1,27,2,6,50,5,1
101,3,13,5,59,1,01大同區,大同區重慶北路與酒泉街口重慶北路 酒泉街,1,0,1,A04,1,47,3,6,50,4,9
101,3,13,5,59,1,01大同區,大同區重慶北路與酒泉街口重慶北路 酒泉街,1,0,2,H01,1,76,1,6,50,4,9
101,3,15,13,25,2,01大同區,大同區民生西路與環河北路口民生西路 環河北路,0,1,1,B03,1,56,3,8,50,4,2
101,3,15,13,25,2,01大同區,大同區民生西路與環河北路口民生西路 環河北路,0,1,2,C03,1,19,2,8,50,4,2
101,3,23,20,50,2,01大同區,大同區昌吉街昌吉街10號旁,0,2,1,B03,1,40,3,7,40,14,9
101,3,23,20,50,2,01大同區,大同區昌吉街昌吉街10號旁,0,2,2,C03,1,24,2,7,40,14,9
101,3,23,20,50,2,01大同區,大同區昌吉街昌吉街10號旁,0,2,3,H02,1,23,2,7,40,14,9
101,3,25,16,40,2,01大同區,大同區酒泉街52號,0,1,1,C03,1,42,2,8,50,14,9
101,3,25,16,40,2,01大同區,大同區酒泉街52號,0,1,2,B03,1,45,3,8,50,14,9
101,3,25,16,40,2,01大同區,大同區酒泉街52號,0,1,3,B03,1,52,3,8,50,14,9
101,4,2,7,15,2,01大同區,大同區長安西路與重慶北路口重慶北路 長安西路,0,2,1,C03,1,24,2,8,50,4,1
101,4,2,7,15,2,01大同區,大同區長安西路與重慶北路口重慶北路 長安西路,0,2,2,C03,1,26,2,8,50,4,1
101,4,5,19,30,2,01大同區,大同區長安西路與塔城街口長安西路 塔城街,0,1,1,B01,1,58,3,6,50,4,1
101,4,5,19,30,2,01大同區,大同區長安西路與塔城街口長安西路 塔城街,0,1,2,C03,2,26,2,6,50,4,1
101,4,5,22,10,2,01大同區,大同區延平北路3段89號,0,3,1,C03,1,33,2,7,50,14,9
101,4,5,22,10,2,01大同區,大同區延平北路3段89號,0,3,2,B03,2,38,2,7,50,14,9
101,4,5,22,10,2,01大同區,大同區延平北路3段89號,0,3,3,H02,1,30,2,7,50,14,9
101,4,17,22,15,2,01大同區,大同區民生西路與寧夏路口民生西路 寧夏路,0,1,1,B01,1,46,3,7,50,4,1
101,4,17,22,15,2,01大同區,大同區民生西路與寧夏路口民生西路 寧夏路,0,1,2,C03,1,49,2,7,50,4,1
101,3,24,10,50,2,01大同區,大同區民權西路與承德路口承德路 民權西路,0,1,1,B03,1,58,4,6,50,4,1
101,3,24,10,50,2,01大同區,大同區民權西路與承德路口承德路 民權西路,0,1,2,C03,1,25,2,6,50,4,1
101,4,26,17,25,2,01大同區,大同區民權西路213號,0,1,2,,3,,,6,50,14,9
101,5,7,10,21,2,01大同區,大同區重慶北路與酒泉街口重慶北路 酒泉街,0,1,1,C03,1,26,2,8,50,4,2
101,5,7,10,21,2,01大同區,大同區重慶北路與酒泉街口重慶北路 酒泉街,0,1,2,A11,1,45,3,8,50,4,2
101,4,19,7,20,2,01大同區,大同區民生西路與民樂街口民生西路 民樂街,0,2,1,C03,2,31,2,8,50,4,1
101,4,19,7,20,2,01大同區,大同區民生西路與民樂街口民生西路 民樂街,0,2,2,C03,1,17,3,8,50,4,1
101,4,19,7,20,2,01大同區,大同區民生西路與民樂街口民生西路 民樂街,0,2,3,H02,1,7,2,8,50,4,1
101,4,20,8,30,2,01大同區,大同區錦西街錦西街87巷口,0,1,1,C03,1,58,3,8,50,3,1
101,4,20,8,30,2,01大同區,大同區錦西街錦西街87巷口,0,1,2,C03,2,32,2,8,50,3,1
101,3,25,16,54,2,01大同區,大同區通河西街1段2號,0,2,1,C03,1,50,2,8,40,3,1
101,3,25,16,54,2,01大同區,大同區通河西街1段2號,0,2,2,C03,1,26,2,8,40,3,1
101,6,10,19,0,1,01大同區,大同區昌吉街昌吉街110巷1號,1,0,1,B01,1,61,3,8,30,13,9
101,6,10,19,0,1,01大同區,大同區昌吉街昌吉街110巷1號,1,0,2,H01,2,73,1,8,30,13,9
101,6,10,19,0,1,01大同區,大同區昌吉街昌吉街110巷1號,1,0,3,,3,,,8,30,13,9
101,6,9,22,20,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,2,1,C03,2,26,2,8,50,4,1
101,6,9,22,20,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,2,2,C03,2,29,2,8,50,4,1
101,4,25,12,40,2,01大同區,大同區環河北路與南京西路口環河北路 南京西路,0,1,1,A12,1,39,3,8,50,3,1
101,4,25,12,40,2,01大同區,大同區環河北路與南京西路口環河北路 南京西路,0,1,2,C03,1,28,2,8,50,3,1
101,4,25,10,36,2,01大同區,大同區延平北路3段延平北路3段61巷口,0,1,1,B03,1,35,3,8,50,3,1
101,4,25,10,36,2,01大同區,大同區延平北路3段延平北路3段61巷口,0,1,2,C03,1,46,2,8,50,3,1
101,4,22,21,0,2,01大同區,大同區承德路與敦煌路口承德路 敦煌路,0,1,1,B03,1,26,3,8,50,4,1
101,4,22,21,0,2,01大同區,大同區承德路與敦煌路口承德路 敦煌路,0,1,2,C03,1,18,2,8,50,4,1
101,4,4,7,14,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,1,1,C04,1,26,3,8,50,4,1
101,4,4,7,14,2,01大同區,大同區民權西路與延平北路口延平北路 民權西路,0,1,2,C03,2,34,2,8,50,4,1
101,4,4,9,0,2,01大同區,大同區重慶北路與哈密街口重慶北路 哈密街,0,1,1,C03,2,22,2,8,50,4,1
